Supplementary Table 12. Country-specific cumulative absolute risk for PGS strata across 19 phenotypes.,,,,,,,,,,,,
,,,,,,,,,,,,
Phenotype,Country,Sex,Study,Optimal Model,PGS Strata,Age,"Cumulative Absolute Risk 
(%)","Cumulative Absolute Risk  
Lower Confidence Interval
(%)","Cumulative Absolute Risk  
Upper Confidence Interval
(%)",,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,35,0.54,0.22,0.97,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,40,2.66,1.35,4.36,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,45,6.65,3.76,9.99,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,50,12.55,8.27,17.51,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,55,20.00,14.46,25.56,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,60,28.51,21.88,35.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,65,36.69,29.82,43.89,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,70,43.68,36.71,50.12,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,75,48.87,41.83,55.46,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,80,52.07,45.31,58.37,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,35,0.59,0.21,1.31,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,40,2.91,1.25,5.84,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,45,7.25,3.90,12.39,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,50,13.55,8.30,21.83,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,55,21.27,14.57,30.46,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,60,29.83,22.03,39.45,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,65,37.86,30.01,47.59,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,70,44.56,37.13,54.03,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,75,49.43,41.97,58.33,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,80-90%,80,52.44,44.68,60.80,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,35,0.95,0.30,2.31,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,40,4.70,2.05,10.20,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,45,11.53,6.27,20.67,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,50,20.74,13.11,33.15,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,55,30.92,21.22,44.36,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,60,41.08,31.38,53.14,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,65,49.66,39.90,60.61,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,70,56.18,47.35,66.48,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,75,60.54,51.55,70.75,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,90-95%,80,63.17,54.80,72.80,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,35,0.89,0.28,2.30,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,40,4.40,1.82,9.16,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,45,10.82,5.25,20.13,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,50,20.01,11.52,32.79,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,55,31.02,21.10,43.88,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,60,42.75,33.20,55.21,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,65,53.15,43.29,64.18,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,70,61.30,52.76,70.85,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,75,66.87,58.85,75.52,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,> 95%,80,70.08,61.69,78.30,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,35,0.27,0.03,1.04,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,40,1.33,0.28,4.28,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,45,3.20,0.81,8.73,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,50,5.86,1.87,13.82,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,55,9.77,4.01,19.02,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,60,15.15,8.02,25.38,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,65,21.38,13.61,31.84,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,70,27.76,19.95,38.46,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,75,33.20,24.24,44.07,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,< 20%,80,36.55,27.41,47.04,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,35,0.27,0.02,1.04,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,40,1.33,0.28,4.46,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,45,3.19,0.84,9.26,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,50,5.81,1.96,14.12,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,55,9.41,3.88,19.18,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,60,14.03,7.41,25.60,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,65,19.07,11.60,30.20,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,70,23.96,16.41,34.64,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,75,27.96,19.35,39.27,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,20-40%,80,30.47,22.22,41.26,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,35,0.38,0.12,0.64,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,40,1.89,0.74,2.81,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,45,4.52,2.06,5.82,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,50,8.21,4.10,10.35,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,55,13.28,7.70,15.78,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,60,19.77,12.64,22.32,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,65,26.75,19.43,29.48,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,70,33.42,25.69,35.94,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,75,38.76,30.67,41.37,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,40-60%,80,42.02,33.99,44.40,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,35,0.61,0.08,1.44,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,40,3.02,0.77,6.66,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,45,7.15,2.31,13.33,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,50,12.73,5.12,21.48,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,55,19.21,8.83,30.25,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,60,26.23,15.33,37.79,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,65,32.70,21.12,43.42,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,70,38.07,26.11,48.47,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,75,41.84,30.04,51.67,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,60-80%,80,44.19,32.68,54.12,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,35,0.93,0.12,2.61,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,40,4.57,1.07,11.25,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,45,10.71,3.19,21.39,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,50,18.77,7.51,35.08,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,55,27.87,13.41,44.43,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,60,37.36,23.17,52.59,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,65,45.72,32.58,59.38,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,70,52.33,40.30,65.24,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,75,56.79,44.37,69.17,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,80-90%,80,59.44,47.69,71.02,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,35,0.87,0.09,3.76,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,40,4.28,0.82,12.93,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,45,10.04,2.79,27.26,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,50,17.70,6.28,40.46,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,55,26.84,12.19,50.77,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,60,36.85,21.81,59.76,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,65,46.04,30.44,67.58,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,70,53.54,38.83,72.68,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,75,58.74,44.62,76.59,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,90-95%,80,61.77,48.22,78.50,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,35,0.86,0.08,3.96,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,40,4.25,0.83,15.63,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,45,9.97,2.56,30.65,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,50,17.58,5.86,43.62,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,55,26.64,11.37,53.23,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,60,36.55,19.57,63.04,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,65,45.65,29.78,68.88,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,70,53.08,37.69,73.24,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,75,58.23,42.93,77.45,,,
Knee Osteoarthritis,Scotland,Females,Generation Scotland,Age and Sex,> 95%,80,61.24,46.66,79.28,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,35,0.28,0.19,0.38,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,40,1.41,1.02,1.78,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,45,3.39,2.73,4.06,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,50,6.19,4.87,7.39,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,55,9.96,8.44,11.50,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,60,14.75,12.66,16.88,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,65,19.96,17.51,22.38,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,70,25.06,22.30,27.69,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,75,29.32,26.37,32.05,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,< 20%,80,32.14,29.12,34.91,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,35,0.37,0.25,0.50,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,40,1.87,1.36,2.36,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,45,4.46,3.61,5.27,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,50,8.09,6.39,9.56,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,55,12.85,10.80,14.72,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,60,18.70,16.11,21.31,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,65,24.86,21.89,27.62,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,70,30.68,27.44,33.67,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,75,35.39,32.09,38.59,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,20-40%,80,38.47,35.17,41.59,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,35,0.45,0.30,0.59,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,40,2.23,1.67,2.81,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,45,5.33,4.37,6.19,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,50,9.61,7.69,11.23,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,55,15.12,12.89,17.06,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,60,21.75,18.96,24.33,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,65,28.56,25.51,31.56,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,70,34.86,31.46,37.95,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,75,39.84,36.43,43.07,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,40-60%,80,43.06,39.60,46.43,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,60-80%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,60-80%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,60-80%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,60-80%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,60-80%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,60-80%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Finland,Females,FinnGen,Age and Sex,60-80%,35,0.53,0.36,0.70,,,
